,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.4192,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['yesterday', 'meal', 'hour', 'flight', 'hour', 'coffee', 'cup', 'wine', 'glass', 'dinner', 'cupholder', 'hour', 'flight', 'attendant', 'non_existent', 'people', 'excuse', 'flight', 'turbulence']"
1,1,1.0,0.3318,"class, business, service, airline, food, seating, bed, experience, year, trip","['body', 'lie_flat', 'business', 'class', 'layout', 'seat', 'wifi', 'crew', 'amenity', 'side', 'blanket', 'pillow', 'catering', 'bit', 'side', 'salad', 'food', 'hour', 'flight', 'kind', 'tea', 'thing', 'lemon', 'airport', 'layout', 'staff', 'member', 'passenger', 'transfer', 'leg', 'hour', 'hop', 'business', 'class', 'seat', 'foie', 'gras', 'snack', 'touch', 'experience', 'airline', 'option', 'mile', 'fare', 'schedule', 'widebody', 'moscow', 'flight', 'respect', 'peer', 'transit', 'airline', 'hub', 'transit', 'seat', 'staff', 'customer', 'experience', 'segmentation', 'perspective', 'type', 'airline', 'addition', 'terminal', 'review', 'hour', 'passport_control', 'queue']"
2,2,1.0,0.2773,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'attendant', 'business', 'class', 'snack', 'captain', 'business', 'class', 'bag']"
3,3,3.0,0.4437,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['economy', 'class', 'mile', 'partner', 'traveler', 'gold', 'economy', 'class', 'ticket', 'economy', 'premium', 'ticket', 'jet', 'area']"
4,4,2.0,0.3509,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['experience', 'trip', 'flight', 'flight', 'hour', 'flight', 'warn', 'day', 'date', 'vacation', 'thing', 'shop', 'snack', 'water']"
5,5,4.0,0.3971,"row, leg, room, window, plane, space, exit, side, front, door","['delay', 'leg', 'information', 'time', 'service', 'aircraft', 'dust', 'side', 'seat', 'window', 'wifi', 'leg']"
6,6,1.0,0.4692,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'several_time', 'business', 'class', 'product', 'seat', 'try', 'one', 'food', 'crew', 'lounge', 'new_york']"
7,7,4.0,0.2814,"row, leg, room, window, plane, space, exit, side, front, door","['phone', 'book', 'business', 'class', 'economy', 'flight', 'brisbane', 'knowledge', 'business', 'web_site', 'economy', 'leg']"
8,8,1.0,0.2777,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'flight', 'cph', 'flight', 'buenos_aire', 'course', 'award', 'mileage', 'point', 'award', 'mile']"
9,9,4.0,0.3926,"row, leg, room, window, plane, space, exit, side, front, door","['flight', 'year', 'gsqr', 'personnel', 'experience', 'seat', 'space', 'leg', 'shoulder', 'head', 'rest', 'sweat', 'neck', 'flight', 'entertainment_system', 'screen', 'outlet', 'usb_port', 'recharge', 'device', 'food', 'quality', 'partner', 'month', 'possibility', 'seat', 'correspondence', 'service', 'price', 'premium']"
10,10,4.0,0.3252,"row, leg, room, window, plane, space, exit, side, front, door","['option', 'reserve', 'seat', 'seat', 'room', 'flight', 'star']"
11,11,2.0,0.4037,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['time', 'business', 'class', 'pod', 'amount', 'storage', 'space', 'disappointment', 'food', 'service', 'meal', 'service', 'meal', 'meal', 'curry', 'flavor', 'choice', 'curry', 'meal', 'supper', 'menu', 'bowl', 'vegetable', 'couple', 'carrot', 'potato', 'vegetable', 'dose', 'rosemary', 'bread', 'cheese', 'meal', 'pay', 'lot', 'attention', 'quality', 'meal', 'rethink', 'future']"
12,12,2.0,0.4388,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['plane', 'service', 'flight', 'attendant', 'seat', 'people', 'hour', 'flight', 'flight', 'attendant', 'glass', 'water', 'response', 'cart', 'plane', 'people', 'glass', 'water']"
13,13,3.0,0.3719,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['product', 'business', 'class', 'seat', 'economy', 'distance', 'leg', 'chair', 'table', 'food', 'starter', 'slice', 'cheese', 'chocolate', 'bar', 'staff', 'request', 'wine', 'bottle', 'screw', 'cap', 'champagne', 'class', 'seating', 'economy', 'economy', 'nutrition', 'business', 'продукт', 'не', 'увеличены', 'столик', 'мало', 'невкусная', 'просьбы', 'не', 'особо', 'бутылочках', 'premium', 'economy', 'если', 'вообще', 'питанием', 'никак', 'не', 'бизнес']"
14,14,3.0,0.3913,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['experience', 'air_france', 'premium', 'economy', 'plane', 'problem', 'problem', 'delay', 'gate', 'agent', 'job', 'review', 'premium', 'economy', 'seating', 'seat', 'seating', 'position', 'wife', 'ft', 'seat', 'seat', 'bit', 'sitting', 'blanket', 'pillow', 'seat', 'gourmet', 'meal', 'website', 'economy', 'appetizer', 'business', 'class', 'menu', 'meat', 'pate', 'meal', 'oshibori', 'towel', 'wipe', 'service', 'crew', 'meal', 'water', 'run', 'crew', 'service', 'majority', 'flight', 'flight', 'experience', 'norm', 'economy', 'hype', 'air_france', 'website', 'expectation', 'flight', 'delta', 'delta', 'service', 'delta', 'return', 'flight', 'premium', 'economy', 'product', 'value', 'money']"
15,15,4.0,0.2734,"row, leg, room, window, plane, space, exit, side, front, door","['carry', 'baggage_allowance', 'weigh', 'carry_on', 'luggage', 'kg', 'euro', 'pop', 'bit', 'gift', 'toiletry', 'choice']"
16,16,2.0,0.3048,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['ticket', 'amount', 'flight', 'info', 'adjustment', 'trip', 'time']"
17,17,1.0,0.5026,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'food', 'service', 'issue', 'baggage', 'policy', 'business', 'class', 'flight', 'business', 'business', 'class', 'flight', 'business', 'class', 'bag', 'problem', 'trip', 'return', 'baggage', 'fee', 'leg', 'flight', 'economy', 'bag', 'call', 'af', 'customer', 'service', 'policy', 'leg', 'dictate', 'baggage_allowance', 'business', 'class', 'leg', 'level', 'benefit', 'business', 'class']"
18,18,1.0,0.3025,"class, business, service, airline, food, seating, bed, experience, year, trip","['seat', 'business', 'class', 'flight', 'lisbon', 'paris_cdg', 'priority', 'security', 'screening', 'lounge', 'boarding', 'staff', 'kind', 'cabin', 'crew', 'business', 'catering', 'economy', 'meal', 'promise', 'discount', 'flight', 'af', 'economy', 'seat', 'business', 'class', 'experience']"
19,19,2.0,0.3883,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['flight', 'exit', 'row', 'seat', 'amount', 'space', 'flight', 'attendant', 'food', 'service', 'minibar', 'economy', 'passenger', 'long_haul', 'flight', 'passenger', 'leg', 'flight', 'order', 'luggage', 'case', 'flight', 'time', 'luggage', 'day', 'pm', 'point']"
20,20,1.0,0.3008,"class, business, service, airline, food, seating, bed, experience, year, trip","['money', 'check', 'pay', 'seat', 'seat', 'seat', 'register']"
21,21,3.0,0.3352,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['husband', 'seat', 'ablution', 'flight', 'plane', 'seat', 'economy', 'airline']"
22,22,1.0,0.2898,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'travel', 'check', 'landing', 'platinum', 'member', 'lounge', 'choice', 'food', 'stewardess', 'board', 'name', 'gesture', 'baggage', 'arrival']"
23,23,3.0,0.3344,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['year', 'plane', 'economy', 'fabric', 'seat', 'screen', 'palm', 'service', 'roach', 'thing', 'flight', 'attendant', 'way', 'economy', 'service', 'air', 'conditioner', 'conakry', 'hour', 'safety', 'use', 'market', 'airline', 'video', 'woman', 'role', 'ding', 'bat', 'image', 'insult', 'woman']"
24,24,4.0,0.2475,"row, leg, room, window, plane, space, exit, side, front, door","['hour', 'flight', 'customer', 'airline']"
25,25,2.0,0.4508,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['aircraft', 'flight', 'attendant', 'behavior', 'flight', 'none', 'flight', 'attendant', 'flight', 'attendant', 'time', 'flight', 'entertainment', 'delay']"
26,26,4.0,0.26,"row, leg, room, window, plane, space, exit, side, front, door","['game', 'flight', 'attendant', 'staff', 'difference', 'adventure', 'journey', 'today']"
27,27,4.0,0.3864,"row, leg, room, window, plane, space, exit, side, front, door","['staff', 'peace', 'order', 'guy', 'flying', 'economy', 'class', 'experience', 'window', 'seat', 'way', 'leg', 'hand', 'fun', 'bit', 'power_outlet', 'usb', 'output', 'crew', 'fine', 'night', 'snack', 'breakfast', 'meal']"
28,28,2.0,0.3085,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['fast_track', 'passport', 'security', 'lounge', 'breakfast', 'boarding', 'aircraft', 'staff', 'flight', 'time']"
29,29,3.0,0.3094,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['way', 'air_france', 'passenger', 'air', 'cargo', 'wedding', 'anniversary', 'return', 'leg', 'seat', 'leg', 'area', 'flight', 'airline', 'purport', 'city', 'love', 'point', 'trip']"
30,30,1.0,0.4401,"class, business, service, airline, food, seating, bed, experience, year, trip","['jetway', 'hour', 'plane', 'plane', 'flight', 'custom', 'flight', 'airline', 'business', 'class', 'honor', 'business', 'class', 'ticket', 'lounge', 'access', 'business', 'class', 'ticket', 'coach', 'ticket', 'lounge', 'report', 'flight', 'attendant', 'kind', 'way', 'company', 'lot']"
31,31,1.0,0.4317,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'experience', 'configuration', 'access', 'aisle', 'climb', 'person', 'seat', 'service', 'crew', 'food', 'bed', 'sleep', 'business', 'pod', 'style', 'configuration', 'aisle', 'access', 'service', 'food', 'snack', 'landing', 'lie_flat', 'bed', 'business', 'class', 'experience']"
32,32,3.0,0.2988,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['date', 'touch', 'screen', 'screen', 'sound', 'dish', 'cabin', 'crew', 'refreshment', 'flight', 'need', 'galley', 'window', 'neighbor', 'service', 'dinner', 'ravioli', 'landing', 'flight', 'airline', 'offering', 'competitor', 'class', 'well', 'class', 'pretension', 'flight']"
33,33,3.0,0.2989,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['ho_chi', 'part', 'agreement', 'return', 'journey', 'cabin', 'business', 'class', 'pod', 'website', 'seat', 'business', 'class', 'style', 'aircraft', 'seat', 'lie', 'position', 'seat', 'belt', 'housing', 'side', 'claim', 'website', 'space', 'lady', 'handbag', 'screen', 'ipad', 'food', 'space', 'cabin', 'people', 'pressure', 'toilet', 'staff', 'hospitality', 'tube', 'hand', 'moisturiser', 'fit', 'website', 'description']"
34,34,3.0,0.3645,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['leg', 'room', 'screen', 'equipment', 'toilet', 'food', 'flight', 'crew', 'flight']"
35,35,4.0,0.3088,"row, leg, room, window, plane, space, exit, side, front, door","['vacation', 'luggage', 'day', 'clothe', 'winter', 'summer', 'country', 'package', 'claim', 'compensation', 'use', 'air_france']"
36,36,1.0,0.4948,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'check', 'fashion', 'queue', 'sky_priority', 'norm', 'sky', 'team', 'lounge', 'plane', 'business', 'class', 'seat', 'economy', 'seat', 'service', 'lack', 'warmth', 'catering', 'heathrow', 'traffic', 'control', 'transit', 'cdg', 'air_france', 'lounge', 'hall', 'lounge', 'wine', 'champagne', 'choice', 'boarding', 'sky_priority', 'door', 'passenger', 'service', 'crew', 'food', 'wine', 'class', 'seat', 'plane', 'wifi', 'air_france', 'business', 'class', 'version', 'product', 'service', 'travel']"
37,37,3.0,0.4982,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['pleasure', 'economy', 'hr', 'flight', 'thinking', 'seat', 'seat', 'seat', 'angle', 'fall_asleep', 'paper', 'towel', 'seat', 'cushion', 'floor', 'body', 'weight', 'flight', 'recline', 'garbage', 'seat', 'economy']"
38,38,4.0,0.312,"row, leg, room, window, plane, space, exit, side, front, door","['paris_cdg', 'business', 'class', 'seat', 'flight', 'cabin', 'crew', 'pursuer', 'side', 'window', 'seat', 'access', 'space', 'neighbour']"
39,39,2.0,0.3031,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['board', 'stewardess', 'choice', 'business', 'class', 'meal', 'security', 'breeze', 'sky_priority', 'lounge', 'variety', 'breakfast', 'flight', 'time', 'arrival', 'passenger', 'business', 'class', 'bag']"
40,40,3.0,0.3216,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['time', 'food', 'coach', 'seat', 'leg', 'space', 'cup_holder', 'addition', 'lot', 'people', 'cdg', 'hub', 'problem', 'airport', 'coach', 'cabin']"
41,41,1.0,0.3058,"class, business, service, airline, food, seating, bed, experience, year, trip","['hand', 'baggage', 'dimension', 'gate', 'passenger', 'seat', 'train', 'business', 'meeting', 'morning']"
42,42,2.0,0.3299,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['passenger', 'emergency', 'landing', 'flight', 'day', 'counter', 'flight', 'hrs', 'af', 'airport', 'hrs', 'lounge', 'access', 'experience']"
43,43,1.0,0.3886,"class, business, service, airline, food, seating, bed, experience, year, trip","['husband', 'summer', 'holiday', 'carrier', 'check', 'staff', 'onboard', 'cabin', 'crew', 'passenger', 'business', 'clas', 'food', 'seat', 'airline', 'flat', 'business', 'class', 'suite', 'piece', 'luggage', 'idea', 'hour', 'flight', 'departure', 'jumping', 'requirement', 'timing', 'air_france', 'passenger', 'queue', 'time', 'airline']"
44,44,1.0,0.41,"class, business, service, airline, food, seating, bed, experience, year, trip","['lot', 'money', 'fly', 'business', 'class', 'plane', 'economy', 'seat', 'leg', 'room', 'difference', 'people', 'row', 'seating', 'arrangement', 'charge', 'money', 'economy', 'seating', 'business', 'practice', 'scam', 'use', 'airline', 'business', 'class']"
45,45,3.0,0.3168,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['leg', 'premium', 'economy', 'economy', 'class', 'carrier', 'part', 'experience', 'priority', 'check', 'luggage_allowance', 'flight', 'attendant', 'economy', 'class', 'welcome', 'board', 'peanut', 'class', 'flight', 'food', 'portion', 'drink', 'round', 'glass', 'drink', 'round', 'meal', 'service', 'water', 'tea', 'coffee', 'ask', 'water', 'meal', 'service', 'bottle', 'water', 'set', 'tray', 'stool', 'magazine', 'seat', 'leg', 'room', 'seat', 'sleeping', 'position', 'pain', 'travel', 'companion', 'pillow', 'lack', 'human', 'part', 'seat', 'request', 'pillow', 'blanket', 'flight', 'seat', 'pillow', 'departure', 'time', 'option', 'change', 'flight', 'return', 'flight', 'seat', 'seat', 'hour', 'leg', 'af', 'economy', 'concern', 'seat', 'leg', 'room', 'economy', 'fare', 'competitor', 'class', 'star_alliance', 'oneworld', 'airline', 'value', 'flight', 'fare', 'hot_towel', 'snack', 'seat', 'padding']"
46,46,3.0,0.2811,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['flight', 'crew', 'food', 'business', 'class', 'seat']"
47,47,1.0,0.3507,"class, business, service, airline, food, seating, bed, experience, year, trip","['staff', 'food', 'business', 'class', 'flight', 'tasting', 'point', 'snack', 'bar', 'paltry', 'offering', 'hour', 'flight', 'flight', 'business', 'class', 'fare', 'wife', 'future']"
48,48,1.0,0.3623,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'buyer_beware', 'aircraft', 'configuration', 'lay_flat', 'seat', 'seat', 'seat', 'lie_flat', 'privacy', 'way', 'airline', 'pocket', 'business', 'class', 'seat', 'food', 'service']"
49,49,4.0,0.376,"row, leg, room, window, plane, space, exit, side, front, door","['time', 'leg', 'room', 'plane', 'stewardess', 'food', 'chocolate', 'chocolate']"
50,50,1.0,0.493,"class, business, service, airline, food, seating, bed, experience, year, trip","['new_york', 'air', 'change', 'business', 'class', 'seat', 'seat', 'change', 'degree', 'bed', 'angle', 'sleep', 'feel', 'time', 'trip', 'business', 'class', 'seat', 'plane', 'service', 'fine', 'business', 'class', 'people', 'quality', 'plane', 'service', 'plane', 'food', 'credit']"
51,51,3.0,0.4619,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['trip', 'economy', 'class', 'return', 'premium', 'economy', 'upgrade', 'cost', 'premium', 'economy', 'difference', 'class', 'flight', 'time', 'service', 'meal', 'crew', 'snack', 'drink', 'galley', 'selection', 'movie', 'release', 'economy', 'seat', 'fact', 'economy', 'seat', 'premium', 'seat', 'sleeping', 'economy', 'wastage', 'air_france', 'exception', 'meal', 'tray', 'dish', 'container', 'utensil', 'staff', 'end', 'meal', 'chuck', 'bin', 'end', 'meal']"
52,52,4.0,0.2269,"row, leg, room, window, plane, space, exit, side, front, door","['minute', 'time', 'case', 'salmon', 'dish', 'roll', 'desert', 'lounge', 'terminal', 'ambiance', 'baggage', 'arrival', 'priority']"
53,53,1.0,0.3487,"class, business, service, airline, food, seating, bed, experience, year, trip","['lima', 'priority', 'queue', 'passenger', 'size', 'hand', 'baggage', 'airline', 'passenger', 'flight', 'attendant', 'breakfast', 'croissant', 'bread', 'cdg', 'leg', 'class', 'configuration', 'business', 'class', 'seat', 'row', 'layout', 'service', 'food', 'drink', 'carrier']"
54,54,1.0,0.3164,"class, business, service, airline, food, seating, bed, experience, year, trip","['lounge', 'staff', 'snack', 'drink', 'selection', 'boarding', 'time', 'business', 'seat', 'route', 'alternative', 'time', 'air_france', 'rate', 'sleeper', 'seat', 'service', 'air_france', 'staff', 'snack', 'breakfast', 'juice', 'coffee', 'view', 'food', 'component', 'time', 'layover', 'hour', 'flight', 'staff', 'flight', 'af', 'ground', 'staff', 'flight', 'flight', 'business', 'class', 'ticket', 'business', 'cabin', 'access', 'lounge', 'layover', 'fairness', 'advance', 'child', 'today', 'agent', 'access', 'discretion', 'gesture', 'air_france', 'staff', 'mile', 'computer', 'flight', 'ground', 'crew']"
55,55,2.0,0.441,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['leisure', 'trip', 'amount', 'money', 'round_trip', 'business', 'seat', 'reunion', 'fan', 'skypriority', 'lounge', 'hall', 'food', 'beverage', 'flight', 'fault', 'business', 'class', 'seat', 'territory', 'business', 'class', 'day', 'seat', 'family', 'destination', 'kid', 'cabin', 'kid', 'business', 'one', 'flight', 'flight', 'attendant', 'dish', 'meal', 'area', 'quantity', 'movie', 'sleep', 'flight', 'flight', 'seat', 'inclination', 'vacation']"
56,56,3.0,0.2667,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['course', 'la_premiere', 'onboard', 'service', 'quality', 'curtain', 'aisle', 'downside', 'seat']"
57,57,1.0,0.3247,"class, business, service, airline, food, seating, bed, experience, year, trip","['paris_cdg', 'ticket', 'segment', 'premium', 'economy', 'check', 'phone', 'call', 'delta', 'economy', 'class', 'check', 'af', 'site', 'business', 'class', 'upgrade', 'flight', 'announcement', 'airline', 'seat', 'entertainment', 'app', 'coffee', 'tea', 'water', 'sale', 'economy', 'fare', 'flight', 'attendant', 'response', 'busline', 'city', 'impact', 'travel']"
58,58,1.0,0.3815,"class, business, service, airline, food, seating, bed, experience, year, trip","['los_angele', 'usd', 'business', 'class', 'ticket', 'trouble', 'hifly', 'economy', 'class', 'seat', 'voucher', 'experience', 'value', 'voucher']"
59,59,3.0,0.4815,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['business', 'class', 'ticket', 'months_ago', 'economy', 'airline', 'business', 'class', 'passenger', 'seat', 'economy', 'middle', 'row', 'seat', 'partition', 'economy', 'seat', 'entertainment', 'screen', 'work', 'flight', 'attendant', 'problem', 'hour', 'headrest', 'neck', 'economy', 'class', 'cabin', 'person', 'leg', 'rest', 'bout', 'washroom', 'economy', 'recline', 'economy', 'fact', 'matter', 'business', 'class', 'ticket', 'advance', 'warning', 'hour', 'flight', 'service', 'use', 'airline']"
60,60,2.0,0.3032,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['flight', 'hop', 'hop', 'flight', 'low_cost', 'flight', 'ticket', 'price', 'service', 'snack', 'beverage', 'charge', 'leg', 'room', 'hour', 'flight', 'airport', 'shuttle', 'bus', 'terminal', 'complex']"
61,61,1.0,0.2772,"class, business, service, airline, food, seating, bed, experience, year, trip","['way', 'meal', 'dairy', 'vegetable', 'meat', 'rice', 'chick', 'pea', 'rice', 'bread', 'combination', 'bean', 'salad', 'vegetable', 'cheese', 'meat', 'stewardess', 'airline', 'company', 'company', 'gourmet', 'meal', 'nutrition']"
62,62,1.0,0.4211,"class, business, service, airline, food, seating, bed, experience, year, trip","['service', 'business', 'class', 'leg', 'class', 'leg', 'plane', 'cdg', 'limousine', 'class', 'lounge', 'hostess', 'food', 'place', 'wait', 'flight', 'limousine', 'board', 'class', 'cabin', 'service', 'board', 'top_notch', 'stewardess', 'seat', 'curtain', 'privacy', 'arrival', 'luggage', 'immigration', 'return', 'flight', 'class', 'access', 'lounge', 'detail', 'care', 'immigration', 'terminal', 'buggy', 'plane', 'board', 'thing', 'improvement', 'service', 'ground', 'experience', 'eye', 'contact', 'choice', 'food', 'return', 'leg', 'hour', 'luggage', 'food', 'selection', 'summary', 'class', 'experience', 'class', 'experience', 'thing', 'menu', 'dish', 'wifi', 'leg', 'return', 'flight']"
63,63,1.0,0.27,"class, business, service, airline, food, seating, bed, experience, year, trip","['experience', 'air_france', 'flight', 'new_york', 'paris_cdg', 'business', 'class', 'tail', 'nose', 'camera', 'service', 'plane', 'sleep', 'flying', 'use', 'lie_flat', 'seat', 'jet', 'cdg']"
64,64,4.0,0.4207,"row, leg, room, window, plane, space, exit, side, front, door","['departure', 'flight', 'seat', 'plane', 'seat', 'seat', 'chair', 'inch', 'foot', 'space', 'baggage', 'discount', 'website', 'app', 'baggage', 'option', 'tell', 'purchase', 'card', 'discount', 'baggage', 'discount', 'service', 'purchase', 'phone', 'customer', 'service', 'rep', 'experience', 'website', 'issue', 'technology', 'user', 'mother', 'grandmother', 'use']"
65,65,1.0,0.3374,"class, business, service, airline, food, seating, bed, experience, year, trip","['air_france', 'new_york', 'business', 'class', 'seat', 'jet', 'business', 'class', 'seat', 'side', 'side', 'style', 'privacy', 'climbing', 'travel', 'sort', 'carry_on', 'window', 'seat', 'food', 'foie', 'gras', 'salmon', 'tartare', 'duck', 'sea', 'orange', 'baby', 'food', 'service']"
66,66,1.0,0.3079,"class, business, service, airline, food, seating, bed, experience, year, trip","['madrid', 'flight', 'economy', 'class', 'airport', 'security', 'difference', 'af', 'lounge', 'coffee', 'croissant', 'airline', 'lounge', 'boarding', 'staff', 'cabin', 'staff', 'hope', 'return', 'tomorrow', 'airline']"
67,67,3.0,0.3613,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['ticket', 'economy', 'class', 'baggage', 'check', 'premium', 'economy', 'plane', 'economy', 'class', 'sky_priority', 'benefit', 'wine', 'peanut', 'hour', 'dinner', 'drink', 'food', 'service', 'flight', 'attendant', 'seat', 'well', 'economy', 'seat', 'case', 'fact', 'seat', 'premium', 'economy', 'seat', 'complaint', 'flight']"
68,68,3.0,0.2717,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['time', 'company', 'airport', 'hour', 'flight', 'experience', 'seat', 'space', 'foot', 'seat', 'other', 'trip', 'boyfriend', 'cabin', 'staff', 'seat', 'exit', 'seat', 'payment']"
69,69,1.0,0.2558,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'af', 'business', 'class', 'seat', 'window', 'recline', 'seat', 'bit', 'staff', 'day', 'greeting', 'entrance', 'handluggage', 'lady', 'place', 'luggage', 'start', 'thing', 'tray', 'chicken', 'jam', 'butter', 'drink', 'staff', 'economy', 'business', 'class', 'guest', 'minute', 'bread', 'look', 'menu', 'bread', 'roll', 'menu', 'bread', 'tray', 'croissant', 'comment', 'direction', 'choice']"
70,70,3.0,0.5605,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['flight', 'premium', 'economy', 'cabin', 'restroom', 'aircraft', 'economy', 'crew', 'service', 'dinner', 'premium', 'economy', 'flight', 'ice_cream', 'bar', 'touch', 'breakfast', 'downfall', 'premium', 'economy', 'shell', 'seat', 'sit', 'period', 'time', 'seat', 'shell', 'pillow', 'return', 'flight', 'time', 'premium', 'economy', 'cabin', 'restroom', 'crew', 'biz', 'economy', 'passenger', 'flight', 'crew', 'dinner', 'hour', 'water', 'flight', 'flight', 'snack', 'shell', 'seat', 'time', 'recline', 'legrest', 'support', 'leg', 'foot', 'end', 'flight', 'partner', 'back', 'pain', 'need', 'shell', 'seat', 'inconvenience', 'product', 'comfort', 'service']"
71,71,1.0,0.3768,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'departure', 'time', 'business', 'class', 'cabin', 'service', 'cabin', 'configuration', 'business', 'class', 'row', 'cabin', 'seat', 'service', 'meal', 'option', 'snack', 'flight', 'time', 'business', 'class', 'ticket', 'mile']"
72,72,3.0,0.3755,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['new_york', 'premium', 'economy', 'steward', 'seat', 'belt', 'safety', 'leaflet', 'seatback', 'fact', 'leaflet', 'row', 'dinner', 'steward', 'aperitif', 'ask', 'water', 'ask', 'piece', 'bread', 'meal', 'chicken', 'rice', 'economy', 'seat', 'economy', 'space', 'leg', 'flight', 'week', 'paris_cdg', 'economy', 'crew', 'customer']"
73,73,3.0,0.3149,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['service', 'general', 'check', 'app', 'euro', 'leg', 'room', 'fact', 'row', 'respect', 'seat', 'class', 'policy', 'af', 'airline', 'economy', 'fare', 'seat', 'economy', 'class', 'row', 'seat', 'cabin', 'space', 'premium', 'economy', 'customer', 'surcharge', 'seat', 'economy', 'row', 'connection', 'kind', 'cabin', 'crew', 'aircraft', 'entertainment', 'program', 'food', 'flight', 'service', 'time']"
74,74,1.0,0.2545,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'flight', 'attendant', 'attention', 'seat', 'food']"
75,75,1.0,0.2842,"class, business, service, airline, food, seating, bed, experience, year, trip","['milan', 'linate', 'air_france', 'business', 'class', 'seat', 'seat', 'row', 'staff', 'meal', 'thing', 'boarding', 'zone', 'seat', 'power_outlet', 'smartphone', 'lounge', 'electrical_outlet']"
76,76,1.0,0.4534,"class, business, service, airline, food, seating, bed, experience, year, trip","['seat', 'upgrade', 'offer', 'price', 'check', 'business', 'class', 'agent', 'visit', 'lounge', 'food', 'drink', 'time', 'boarding', 'arrival', 'pity', 'economy', 'seat', 'business', 'class', 'enhancement', 'armrest', 'side', 'bit', 'space', 'breakfast', 'bread', 'business', 'class', 'fare', 'flight', 'kind', 'seat', 'configuration']"
77,77,1.0,0.3681,"class, business, service, airline, food, seating, bed, experience, year, trip","['new_york', 'business', 'class', 'seat', 'jet', 'business', 'class', 'seat', 'side', 'side', 'style', 'privacy', 'climbing', 'travel', 'sort', 'carry_on', 'window', 'seat', 'food', 'foie', 'gras', 'salmon', 'tartare', 'duck', 'sea', 'orange', 'baby', 'food', 'service', 'wine']"
78,78,1.0,0.4548,"class, business, service, airline, food, seating, bed, experience, year, trip","['flyer', 'night', 'flight', 'business', 'lounge', 'shower', 'facility', 'year', 'shower', 'facility', 'list', 'shower', 'list', 'explanation', 'time', 'shower', 'faclitie', 'order', 'business', 'client']"
