,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
11661,11661,3.0,0.4979,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'lot', 'storage', 'compartment', 'seat', 'part', 'galley', 'space', 'curtain', 'light', 'seat', 'problem']"
11662,11662,4.0,0.312,"row, leg, room, window, plane, space, exit, side, front, door","['business', 'class', 'cabin', 'seat', 'row', 'seat', 'space', 'window', 'jail', 'try', 'economy', 'business', 'class']"
11663,11663,3.0,0.3916,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'seat', 'aisle', 'person', 'row', 'use', 'underseat', 'recline', 'economy', 'space', 'disruption', 'restroom', 'user', 'people']"
11664,11664,3.0,0.472,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['economy', 'noise', 'child', 'seat', 'curtain', 'mesh', 'passenger', 'economy']"
11665,11665,3.0,0.3346,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'business', 'window', 'economy', 'seat', 'meal', 'course', 'dinner', 'breakfast', 'economy', 'seat', 'passenger', 'mesh', 'curtain', 'companion', 'seat', 'shoulder', 'business', 'fare', 'seat']"
11666,11666,3.0,0.4826,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['business', 'class', 'seat', 'aircraft', 'reason', 'room', 'foot', 'space', 'read', 'work', 'reading_light', 'reading_light', 'seat', 'seat', 'light', 'thinking', 'foot', 'rest', 'recline', 'floor', 'design', 'shame']"
11667,11667,4.0,0.2601,"row, leg, room, window, plane, space, exit, side, front, door","['upgrade', 'economy', 'seat', 'front', 'people', 'attendant', 'hour', 'flight']"
11668,11668,4.0,0.341,"row, leg, room, window, plane, space, exit, side, front, door","['bed', 'position', 'head', 'movable', 'hour', 'sleep', 'row', 'engine', 'noise']"
11669,11669,3.0,0.4116,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['bulkhead', 'foot', 'none', 'bulkhead', 'seat']"
11670,11670,3.0,0.2972,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'hour', 'seat', 'foot', 'stretch', 'spouse', 'aisle']"
11671,11671,4.0,0.3047,"row, leg, room, window, plane, space, exit, side, front, door","['plane', 'trip', 'seat', 'padding', 'tie', 'shoe']"
11672,11672,3.0,0.3941,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['cabin', 'businessfirst', 'seat', 'seat', 'footwell', 'shape', 'curve', 'plane', 'factor', 'foot', 'room', 'angle', 'seat', 'footwell', 'seat', 'storage', 'area', 'crew', 'stuff', 'monitor', 'area', 'fwd', 'bathroom', 'side', 'plane', 'traffic', 'front']"
11673,11673,4.0,0.312,"row, leg, room, window, plane, space, exit, side, front, door","['sea', 'comment', 'choice', 'economy', 'space', 'ground', 'cm', 'foot', 'space', 'flight']"
11674,11674,3.0,0.3608,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'leg', 'room', 'seat', 'recline', 'seat', 'bulkhead', 'return', 'trip', 'equipment', 'type', 'seat', 'row', 'report', 'recline', 'recline', 'web', 'job']"
11675,11675,4.0,0.4358,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'plane', 'seat', 'aisle', 'person', 'reserve', 'window', 'flight', 'nook', 'seat', 'row', 'aisle', 'seat', 'shoulder', 'room', 'cross', 'leg', 'trolley', 'passenger', 'way', 'toilet', 'toilet', 'traffic', 'room', 'stretch', 'leg', 'option', 'economy', 'seat', 'recline', 'one', 'seat', 'bit']"
11676,11676,3.0,0.4191,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['economy', 'seat', 'area', 'ton', 'leg', 'room', 'bag', 'front', 'use', 'foot', 'stool', 'recline', 'seat', 'recline', 'button', 'seat', 'seat', 'recliner', 'sleep', 'problem', 'view', 'window', 'seat', 'wing', 'seat']"
11677,11677,3.0,0.3063,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'flight', 'attendant', 'aisle', 'flight', 'hrs', 'seat', 'center', 'seat', 'solo', 'window', 'seat', 'pair', 'companion']"
